k,eps,Option1,Option2,D_0,Lambdamin,Lambdamax,Increasing,RBDeval,ETol,ps,Elapsed Time
1.2,0.01,1,2,0.7,1.04609375,1.046875,1,0.000118712,0.001,0.1,10.2709988
1.2,0.03,1,2,0.7,1.04296875,1.04375,1,0.000399669,0.001,0.1,12.0561836
1.2,0.05,1,2,0.7,1.040625,1.04140625,1,-0.000253796,0.001,0.1,10.657746
1.2,0.075,1,2,0.7,1.03671875,1.0375,1,0.000153223,0.001,0.1,10.5883325
1.2,0.1,1,2,0.7,1.03359375,1.034375,1,-0.000369054,0.001,0.1,10.5231866
1.2,0.15,1,2,0.7,1.0265625,1.02734375,1,-0.000399329,0.001,0.1,10.5545566
1.2,0.2,1,2,0.7,1.01953125,1.0203125,1,-0.000279188,0.001,0.1,10.5484018
1.2,0.25,1,2,0.7,1.0125,1.01328125,1,-0.000100107,0.001,0.1,10.5411347
1.2,0.3,1,2,0.7,1.00546875,1.00625,1,0.000255686,0.001,0.1,10.8762699
1.2,0.35,1,2,0.7,0.99921875,1,1,-0.000293289,0.001,0.1,15.3805488
1.2,0.4,1,2,0.7,0.9921875,0.99296875,1,0.000194269,0.001,0.1,34.5280897
1.2,0.45,1,2,0.7,0.9859375,0.98671875,1,-0.000156364,0.001,0.1,19.1198027
1.2,0.5,1,2,0.7,0.9796875,0.98046875,1,-0.000407493,0.001,0.1,19.0836645
1.2,0.55,1,2,0.7,0.97265625,0.9734375,1,0.000520485,0.001,0.1,13.9583195
1.2,0.6,1,2,0.7,0.96640625,0.9671875,1,0.000481098,0.001,0.1,13.7171044
1.2,0.65,1,2,0.7,0.96015625,0.9609375,1,0.00054136,0.001,0.1,13.454134
1.2,0.7,1,2,0.7,0.9546875,0.95546875,1,-0.000416096,0.001,0.1,10.9122297
1.2,0.75,1,2,0.7,0.9484375,0.94921875,1,-0.000169034,0.001,0.1,11.2918402
1.2,0.8,1,2,0.7,0.9421875,0.94296875,1,0.000177813,0.001,0.1,10.4473756
1.2,0.85,1,2,0.7,0.93671875,0.9375,1,-0.000308113,0.001,0.1,10.2410125
1.2,0.9,1,2,0.7,0.93046875,0.93125,1,0.000238927,0.001,0.1,10.7338445
1.2,0.95,1,2,0.7,0.925,0.92578125,1,-0.00029479,0.001,0.1,11.1891222
1.2,1,1,2,0.7,0.91875,0.91953125,1,0.000439485,0.001,0.1,13.3386326
1.3,0.005,1,2,0.7,1.0640625,1.06484375,1,-0.000218029,0.001,0.1,12.0046155
1.3,0.01,1,2,0.7,1.06328125,1.0640625,1,-0.000437205,0.001,0.1,12.347627
1.3,0.03,1,2,0.7,1.059375,1.06015625,1,-0.000276895,0.001,0.1,11.4016429
1.3,0.05,1,2,0.7,1.05546875,1.05625,1,-7.20E-05,0.001,0.1,10.9022485
1.3,0.075,1,2,0.7,1.05078125,1.0515625,1,-3.44E-05,0.001,0.1,12.0121519
1.3,0.1,1,2,0.7,1.04609375,1.046875,1,5.39E-05,0.001,0.1,11.2248979
1.3,0.15,1,2,0.7,1.03671875,1.0375,1,0.000382281,0.001,0.1,13.1487642
1.3,0.2,1,2,0.7,1.028125,1.02890625,1,-0.000179495,0.001,0.1,15.3907752
1.3,0.25,1,2,0.7,1.01953125,1.0203125,1,-0.000481124,0.001,0.1,13.1283114
1.3,0.3,1,2,0.7,1.01015625,1.0109375,1,0.000440212,0.001,0.1,11.1332001
1.3,0.35,1,2,0.7,1.0015625,1.00234375,1,0.000420115,0.001,0.1,11.6286221
1.3,0.4,1,2,0.7,0.99375,0.99453125,1,-0.000446488,0.001,0.1,12.7386718
1.3,0.45,1,2,0.7,0.98515625,0.9859375,1,3.76E-05,0.001,0.1,13.4411609
1.3,0.5,1,2,0.7,0.97734375,0.978125,1,-0.00046914,0.001,0.1,10.3628493
1.3,0.55,1,2,0.7,0.96875,0.96953125,1,0.000208023,0.001,0.1,24.3319652
1.3,0.6,1,2,0.7,0.9609375,0.96171875,1,4.33E-05,0.001,0.1,13.9350994
1.3,0.65,1,2,0.7,0.953125,0.95390625,1,5.02E-05,0.001,0.1,11.933432
1.3,0.7,1,2,0.7,0.9453125,0.94609375,1,0.000228963,0.001,0.1,11.7697742
1.3,0.75,1,2,0.7,0.93828125,0.9390625,1,-0.00042904,0.001,0.1,11.9677991
1.3,0.8,1,2,0.7,0.93046875,0.93125,1,9.47E-05,0.001,0.1,12.8068564
1.3,0.85,1,2,0.7,0.9234375,0.92421875,1,-0.000528617,0.001,0.1,13.2934419
1.3,0.9,1,2,0.7,0.915625,0.91640625,1,0.000322112,0.001,0.1,15.0773729
1.3,0.95,1,2,0.7,0.90859375,0.909375,1,0.000340178,0.001,0.1,13.625487
1.3,1,1,2,0.7,0.9015625,0.90234375,1,0.000164942,0.001,0.1,12.107816
1.4,0.005,1,2,0.7,1.078125,1.07890625,1,-0.000480624,0.001,0.1,16.2082956
1.4,0.01,1,2,0.7,1.0765625,1.07734375,1,0.000153648,0.001,0.1,14.2365781
1.4,0.03,1,2,0.7,1.071875,1.07265625,1,0.000503,0.001,0.1,17.3106854
1.4,0.05,1,2,0.7,1.06796875,1.06875,1,-0.000204587,0.001,0.1,13.7254949
1.4,0.075,1,2,0.7,1.0625,1.06328125,1,-0.000213873,0.001,0.1,20.6661342
1.4,0.1,1,2,0.7,1.05703125,1.0578125,1,-0.000115934,0.001,0.1,16.8679518
1.4,0.15,1,2,0.7,1.04609375,1.046875,1,0.000263881,0.001,0.1,19.9828491
1.4,0.2,1,2,0.7,1.0359375,1.03671875,1,-0.00025793,0.001,0.1,17.7779909
1.4,0.25,1,2,0.7,1.02578125,1.0265625,1,-0.000415368,0.001,0.1,12.788465
1.4,0.3,1,2,0.7,1.015625,1.01640625,1,-0.000415233,0.001,0.1,13.3639301
